"timestamp","fav_num","max_temp","comic_char","music_genre","total_rain","book_title","book_pages"
"2017/01/16 9:20:31 AM PST","4","16","Ross","Country","100","Python","687"
"2017/01/16 9:21:11 AM PST","7","28 F","Spiderman","Rock","19.1","Harry Potter and the Order of the Phoenix","766"
"2017/01/16 9:24:23 AM PST","42","69","Batman","Rock","44.44","Coding the Matrix","530"
"2017/01/16 9:28:07 AM PST","5","73","Ozymandias","Blues","38.85","Clash of Civilizations","368"
"2017/01/16 9:30:34 AM PST","22","73","Bruce wayne","Rock","48.49","Girl with the dragon tattoo ","327"
"2017/01/16 9:33:37 AM PST","3","73","Batman","Blues","38.69","Introduction to Algorithms","1292"
"2017/01/16 9:34:22 AM PST","25","72","Superman","Hip-Hop","38.69","The Clean Coder","210"
"2017/01/16 9:34:54 AM PST","3","50","Tintin","Jazz","65","Site Reliability Engineering","552"
"2017/01/16 9:41:39 AM PST","8","55","Batman","Pop","4.76","Bhagavad Gita As It Is","904"
"2017/01/16 9:41:56 AM PST","42","38","Batman","Electronic","46.23","Machine Learning","414"
"2017/01/16 9:42:31 AM PST","1","60 F","Spiderman","Country","15","Lean In","240"
"2017/01/16 9:44:28 AM PST","2","37F or 3C","","Pop","50 inches","Data Science from Scratch: First Principles with Python","330"
"2017/01/16 9:48:08 AM PST","2.7182818284590452353602874713526624977572470936999595749669676277240766303535475945713821785251664274","-7","Aquaman","Instrumental","24.877953","The Scientist and Engineer's Guide to Digital Signal Processing","650"
"2017/01/16 9:49:04 AM PST","11","-5.8 celsius","Wolverine","Rap","","Artificial Intelligence: A Modern Approach","1145"
"2017/01/16 9:57:19 AM PST","7","49","Hobbes","Jazz","20.27","Leviathan Wars","483"
"2017/01/16 9:58:37 AM PST","23","75","Superman","Rock","35","Either/Or (Volume II)","392"
"2017/01/16 10:01:09 AM PST","9","43","NA","Country","","R programming","453"
"2017/01/16 10:04:21 AM PST","42","64 deg F","Asterix","Rock","10.2","A Tragic Honesty: The Life and Work of Richard Yates","688"
"2017/01/16 10:04:34 AM PST","999","45","Tintin","Rock","47.25","Platform","300"
"2017/01/16 10:16:42 AM PST","9","26 Degree Celsuis","Archie","Punk Rock","","blink","280"
"2017/01/16 10:17:59 AM PST","43","68","Night Owl","Hip-Hop","53","Rising Strong","301"
"2017/01/16 10:24:29 AM PST","6","50","Jerry","Pop","40","Tools of Titans","698"
"2017/01/16 10:24:37 AM PST","","","","","","",""
"2017/01/16 10:32:13 AM PST","11","70","Batman","Hip-Hop","","38.69","271"
"2017/01/16 10:36:02 AM PST","3.141592654","76","Batman (detective comics version, not dark knight)","Rock","60.96 in","The Last of the Really Great Whangdoodles","288"
"2017/01/16 10:39:58 AM PST","12","6","Archie","Rock","22","Fundamentals of Database Systems","1172"
"2017/01/16 10:48:24 AM PST","42","33 F","Asterix","Jazz","58","All About ETFs","369"
"2017/01/16 11:04:05 AM PST","9","35","Wolverine","Rock","12","Born to Run","288"
"2017/01/16 11:04:46 AM PST","9520299309916106545968","30","Star Lord","Retrowave","44","The Quantum Thief","336"
"2017/01/16 11:11:56 AM PST","17","31","Hit Girl","Rock","1.56","The Troop","407"
"2017/01/16 11:27:30 AM PST","7","29F","Ellie","Pop","37.43","Fundamentals of Database Systems","1172"
"2017/01/16 11:39:36 AM PST","4","34","Iron Man / Tony Stark","Rock","35.98","Game of Thrones","704"
"2017/01/16 11:41:21 AM PST","3","40","The Shadow","Rock","42","Iron War","336"
"2017/01/16 11:52:29 AM PST","8","40","Batman","Rock","37","Mistborn","541"
"2017/01/16 12:03:36 PM PST","24","39","Batman","Rock","16","Machine Learning","414"
"2017/01/16 12:15:56 PM PST","7","38","superman","classical","44.42","running linux","974"
"2017/01/16 12:35:25 PM PST","5","68","","Pop","38","what hedge funds really do","130"
"2017/01/16 12:44:02 PM PST","42","32","wolverine","classical","13","off armageddon reef","608"
"2017/01/16 1:02:26 PM PST","7","55","Iron Man","Rock","20","The Way of Kings","1007"
"2017/01/16 2:15:39 PM PST","7","73F","Iron Man","Pop","38.69","Zen and the Art of Motorcycle Maintenance","418"
"2017/01/16 2:39:27 PM PST","0","17","Your Mom","Rock","28.03","Leviathan Wakes","561"
"2017/01/16 2:48:01 PM PST","4","57","Vision","Indie-Pop","55","The Naked Sun","187"
